Location,Filename,Year,Month,Day,Hour,AQI,PM2.5,PM10,O3,CO,SO2,NO2,AQI_Class
Mumbai,MH_UnFSG_2023-03-14-13.00-1-259.jpg,2023,3,14,13:00,138,90.0,120.0,143.0,21.0,9.0,16.0,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_Mod_2023-03-13-08.30-1-316.jpg,2023,3,13,8:30,53,27.0,49.0,22.0,304.0,7.0,16.0,b_Moderate
"ITO, Delhi",DEL_VUnH_2023-02-16-17.00-2-82.jpg,2023,2,16,17:00,293,370.0,407.0,77.0,112.0,9.0,109.0,e_Very_Unhealthy
"Knowledge park, Greater Noida",UP_UHFSG_2023-02-08-08.30-1-105.jpg,2023,2,8,8:30,133,34.0,199.0,2.0,28.0,16.0,47.0,c_Unhealthy_for_Sensitive_Groups
"ITO, Delhi",DEL_VUnH_2023-02-16-14.30-1-140.jpg,2023,2,16,14:30,245,337.0,272.0,85.0,60.0,28.0,108.0,e_Very_Unhealthy
Mumbai,MH_Good_2023-03-22-18.00-1-193.jpg,2023,3,22,18:00,47,21.0,43.0,37.0,4.0,8.0,7.0,a_Good
Bengaluru,BENGR_Good_2023-03-21-08.30-1-372.jpg,2023,3,21,8:30,47,22.0,47.0,17.0,271.0,3.0,17.0,a_Good
Mumbai,MH_Good_2023-03-22-18.00-1-97.jpg,2023,3,22,18:00,47,21.0,43.0,37.0,4.0,8.0,7.0,a_Good
Bengaluru,BENGR_Mod_2023-03-09-08.30-1-116.jpg,2023,3,9,8:30,51,26.0,45.0,16.0,248.0,11.0,14.0,b_Moderate
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-03- 10.00-3-43.jpg,2023,2,3,10:00,163,68.92,98.72,51.38,0.58,2.91,2.69,d_Unhealthy
Bengaluru,BENGR_Good_2023-02-28-08.30-1-386.jpg,2023,2,28,8:30,37,19.0,37.0,18.0,272.0,11.0,21.0,a_Good
Bengaluru,BENGR_Mod_2023-02-23-08.30-1-491.jpg,2023,2,23,8:30,97,43.0,78.0,26.0,258.0,10.0,17.0,b_Moderate
"ITO, Delhi",DEL_VUnH_2023-02-16-14.00-1-3.jpg,2023,2,16,14:00,268,401.0,325.0,73.0,88.0,16.0,,e_Very_Unhealthy
"Knowledge park, Greater Noida",UP_VUN_2023-03-02-09.00-1-509.jpg,2023,3,2,9:00,223,301.0,232.0,7.0,174.0,22.0,82.0,e_Very_Unhealthy
Tamil Nadu,TN_UNH_2023-02-03-13.30-1-19.jpg,2023,2,3,13:30,167,104.0,188.0,37.0,1.0,8.0,6.0,d_Unhealthy
Tamil Nadu,TN_Good_2023-02-20-16.30-1-156.jpg,2023,2,20,16:30,43,22.0,40.0,33.0,226.0,33.0,6.0,a_Good
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 12.00-3-50.jpg,2023,2,2,12:00,158,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 12.00-2-35.jpg,2023,2,2,12:00,158,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy
"ITO, Delhi",DEL_SEV_2023-02-22-14.00-2-571.jpg,2023,2,22,14:00,450,500.0,480.0,91.0,78.0,17.0,47.0,f_Severe
Bengaluru,BENGR_Mod_2023-03-04-08.30-1-81.jpg,2023,3,4,8:30,71,34.0,63.0,24.0,172.0,2.0,16.0,b_Moderate
Mumbai,MH_VUN_2023-03-05-08.30-2-216.jpg,2023,3,5,8:30,284,279.0,168.0,33.0,46.0,,100.0,e_Very_Unhealthy
Bengaluru,BENGR_Mod_2023-02-23-08.30-1-321.jpg,2023,2,23,8:30,97,43.0,78.0,26.0,258.0,10.0,17.0,b_Moderate
"ITO, Delhi",DEL_VUnH_2023-02-16-17.00-1-157.jpg,2023,2,16,17:00,293,370.0,407.0,77.0,112.0,9.0,109.0,e_Very_Unhealthy
Mumbai,MH_UN_2023-03-13-10.00-1-176.jpg,2023,3,13,10:00,197,114.0,108.0,,,,64.0,d_Unhealthy
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-03- 10.00-2-20.jpg,2023,2,3,10:00,163,68.92,98.72,51.38,0.58,2.91,2.69,d_Unhealthy
"ITO, Delhi",DEL_SEV_2023-02-16-18.00-2-30.jpg,2023,2,16,18:00,330,418.0,357.0,12.0,106.0,7.0,119.0,f_Severe
"Knowledge park, Greater Noida",UP_UN_2023-03-01-08.30-1-213.jpg,2023,3,1,8:30,199,35.0,345.0,2.0,42.0,22.0,25.0,d_Unhealthy
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-03- 10.00-2-45.jpg,2023,2,3,10:00,163,68.92,98.72,51.38,0.58,2.91,2.69,d_Unhealthy
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-03- 10.00-3-74.jpg,2023,2,3,10:00,163,68.92,98.72,51.38,0.58,2.91,2.69,d_Unhealthy
Bengaluru,BENGR_UHFSG_2023-02-03-08.30-1-15.jpg,2023,2,3,8:30,136,76.0,137.0,55.0,228.0,3.0,23.0,c_Unhealthy_for_Sensitive_Groups
Mumbai,MH_UnFSG_2023-03-10-16.00-1-181.jpg,2023,3,10,16:00,141,72.0,108.0,,,,63.0,c_Unhealthy_for_Sensitive_Groups
"Knowledge park, Greater Noida",UP_UHFSG_2023-02-08-08.30-1-65.jpg,2023,2,8,8:30,133,34.0,199.0,2.0,28.0,16.0,47.0,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_Mod_2023-03-09-08.30-1-466.jpg,2023,3,9,8:30,51,26.0,45.0,16.0,248.0,11.0,14.0,b_Moderate
Mumbai,MH_UH_2023-02-19-12.00-1-36.jpg,2023,2,19,12:00,160,308.0,187.0,72.0,,,,d_Unhealthy
Bengaluru,BENGR_Good_2023-02-27-08.30-1-311.jpg,2023,2,27,8:30,47,24.0,46.0,19.0,216.0,8.0,14.0,a_Good
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-03- 10.00-1-28.jpg,2023,2,3,10:00,163,68.92,98.72,51.38,0.58,2.91,2.69,d_Unhealthy
"ITO, Delhi",DEL_VUnH_2023-02-16-17.00-1-123.jpg,2023,2,16,17:00,293,370.0,407.0,77.0,112.0,9.0,109.0,e_Very_Unhealthy
"ITO, Delhi",DEL_UnH_2023-02-15-11.30-1-19.jpg,2023,2,15,11:30,179,287.0,180.0,42.0,52.0,20.0,66.0,d_Unhealthy
"ITO, Delhi",DEL_SEV_2023-02-20-14.00-3-96.jpg,2023,2,20,14:00,363,257.0,139.0,41.0,65.0,35.0,83.0,f_Severe
Bengaluru,BENGR_UnFSG_2023-03-08-08.30-1-366.jpg,2023,3,8,8:30,106,49.0,90.0,31.0,204.0,9.0,25.0,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,TN_UnFSG_2023-03-09-09.00-1-146.jpg,2023,3,9,9:00,134,84.0,121.0,7.0,235.0,21.0,29.0,c_Unhealthy_for_Sensitive_Groups
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 15.00-2-23.jpg,2023,2,2,15:00,156,63.33,90.8,63.2,0.46,4.05,2.98,d_Unhealthy
"Knowledge park, Greater Noida",UP_VUN_2023-02-22-09.00-3.jpg,2023,2,22,9:00,232,350.0,281.0,2.0,122.0,17.0,61.0,e_Very_Unhealthy
Tamil Nadu,TN_UN_2023-03-06-09.00-2-206.jpg,2023,3,6,9:00,161,111.0,169.0,19.0,398.0,24.0,18.0,d_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-3945.jpg,2022,10,2,10:00,230,185.0,199.0,10.0,52.0,12.0,26.0,e_Very_Unhealthy
"ITO, Delhi",DL_VUNH_2023-02-04-17.00-1-72.jpg,2023,2,4,17:00,281,174.0,132.0,97.0,24.0,19.0,71.0,e_Very_Unhealthy
Tamil Nadu,TN_UHFSG_2023-02-02- 09.00-2-1.jpg,2023,2,2,9:00,107,51.0,91.0,18.0,1.0,6.0,12.0,c_Unhealthy_for_Sensitive_Groups
"ITO, Delhi",DEL_VUnH_2023-02-16-14.00-3-3.jpg,2023,2,16,14:00,268,401.0,325.0,73.0,88.0,16.0,,e_Very_Unhealthy
Mumbai,MH_Good_2023-03-22-11.00-1-393.jpg,2023,3,22,11:00,49,32.0,59.0,46.0,9.0,7.0,17.0,a_Good
"ITO, Delhi",DEL_SEV_2023-02-16-18.00-2-13.jpg,2023,2,16,18:00,330,418.0,357.0,12.0,106.0,7.0,119.0,f_Severe
Bengaluru,BENGR_Good_2023-02-26-08.30-1-111.jpg,2023,2,26,8:30,48,24.0,47.0,17.0,210.0,13.0,14.0,a_Good
Tamil Nadu,TN_Good_2023-02-20-16.30-1-226.jpg,2023,2,20,16:30,43,22.0,40.0,33.0,226.0,33.0,6.0,a_Good
"Biratnagar, Nepal",BIR_MOD_2023-02-13-09.30-3-18.jpg,2023,2,13,9:30,91,30.27,44.12,42.15,0.3,4.1,2.57,b_Moderate
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-03- 10.00-2-22.jpg,2023,2,3,10:00,163,68.92,98.72,51.38,0.58,2.91,2.69,d_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-4817.jpg,2022,10,2,10:00,230,185.0,199.0,10.0,52.0,12.0,26.0,e_Very_Unhealthy
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-03- 10.00-3-11.jpg,2023,2,3,10:00,163,68.92,98.72,51.38,0.58,2.91,2.69,d_Unhealthy
"ITO, Delhi",DEL_SEV_2023-02-17-13.00-1-16.jpg,2023,2,17,13:00,372,348.0,199.0,25.0,67.0,10.0,107.0,f_Severe
"ITO, Delhi",DEL_VUnH_2023-02-16-14.30-1-269.jpg,2023,2,16,14:30,245,337.0,272.0,85.0,60.0,28.0,108.0,e_Very_Unhealthy
Mumbai,MH_UN_2023-03-12-13.00-1-204.jpg,2023,3,12,13:00,156,217.0,122.0,,,,63.0,d_Unhealthy
Bengaluru,BENGR_Mod_2023-03-04-08.30-1-206.jpg,2023,3,4,8:30,71,34.0,63.0,24.0,172.0,2.0,16.0,b_Moderate
"Knowledge park, Greater Noida",UP_UHFSG_2023-03-06-11.30-1-1.jpg,2023,3,6,11:30,104,100.0,185.0,8.0,28.0,30.0,44.0,c_Unhealthy_for_Sensitive_Groups
"Biratnagar, Nepal",BIR_UFSG_2023-02-14- 14.30-3-58.jpg,2023,2,14,14:30,101,33.18,48.66,68.31,0.25,3.25,0.67,c_Unhealthy_for_Sensitive_Groups
Mumbai,MH_UH_2023-02-11-03.30-2-48.jpg,2023,2,11,15:30,154,66.2,93.75,91.0,20.0,,98.0,d_Unhealthy
"Biratnagar, Nepal",BIR_MOD_2023-02-13-09.30-4-30.jpg,2023,2,13,9:30,91,30.27,44.12,42.15,0.3,4.1,2.57,b_Moderate
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 12.00-2-42.jpg,2023,2,2,12:00,158,70.08,100.82,58.89,0.49,4.4,1.04,d_Unhealthy
"Knowledge park, Greater Noida",UP_UHFSG_2023-02-24-08.30-1-41.jpg,2023,2,24,8:30,141,268.0,180.0,2.0,114.0,10.0,56.0,c_Unhealthy_for_Sensitive_Groups
Mumbai,MH_UH_2023-02-18-11.00-1-23.jpg,2023,2,18,11:00,151,277.0,166.0,41.0,24.0,,,d_Unhealthy
Tamil Nadu,TN_UNH_2023-02-03-12.30-1-25.jpg,2023,2,3,12:30,150,78.0,159.0,25.0,1.0,8.0,12.0,d_Unhealthy
"Knowledge park, Greater Noida",UP_SEV_2023-02-18-14.30-1-52.jpg,2023,2,18,14:30,331,292.0,182.0,2.0,7.0,31.0,20.0,f_Severe
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-03- 10.00-2-2.jpg,2023,2,3,10:00,163,68.92,98.72,51.38,0.58,2.91,2.69,d_Unhealthy
Mumbai,MH_UH_2023-02-03- 09.30-1-89.jpg,2023,2,3,9:30,162,132.0,185.0,14.0,77.0,10.0,1.0,d_Unhealthy
Bengaluru,BENGR_Mod_2023-03-06-08.30-1-341.jpg,2023,3,6,8:30,68,36.0,59.0,22.0,171.0,5.0,14.0,b_Moderate
"ITO, Delhi",DEL_SEV_2023-02-07-14.00-1-107.jpg,2023,2,7,14:00,449,337.0,198.0,23.0,24.0,13.0,57.0,f_Severe
"ITO, Delhi",DEL_VUnH_2023-02-16-14.00-2-17.jpg,2023,2,16,14:00,268,401.0,325.0,73.0,88.0,16.0,,e_Very_Unhealthy
"ITO, Delhi",DEL_SEV_2023-02-07-14.00-1-109.jpg,2023,2,7,14:00,449,337.0,198.0,23.0,24.0,13.0,57.0,f_Severe
"Biratnagar, Nepal",BIR_UNFSG_VF_2023-02-03-16.00-2-94.jpg,2023,2,3,16:00,141,50.29,72.18,59.66,0.45,2.6,4.19,c_Unhealthy_for_Sensitive_Groups
"Knowledge park, Greater Noida",UP_SEV_2023-02-18-11.00-1-78.jpg,2023,2,18,11:00,320,409.0,352.0,2.0,94.0,22.0,105.0,f_Severe
Bengaluru,BENGR_Good_2023-03-25-08.30-1-15.jpg,2023,3,25,8:30,32,13.0,32.0,31.0,219.0,10.0,20.0,a_Good
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-3961.jpg,2022,10,2,10:00,230,185.0,199.0,10.0,52.0,12.0,26.0,e_Very_Unhealthy
"Biratnagar, Nepal",BRI_UFSG_2023-02-03- 15.00-6.jpg,2023,2,3,15:00,141,47.96,68.92,65.57,0.41,2.8,2.51,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_Mod_2023-03-04-08.30-1-451.jpg,2023,3,4,8:30,71,34.0,63.0,24.0,172.0,2.0,16.0,b_Moderate
Bengaluru,BENGR_UHFSG_2023-02-09-08.30-1-49.jpg,2023,2,9,8:30,103,44.0,80.0,28.0,286.0,14.0,29.0,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,TN_Good_2023-02-27-16.30-1-111.jpg,2023,2,27,16:30,43,22.0,40.0,36.0,268.0,16.0,7.0,a_Good
"ITO, Delhi",DEL_UnH_2023-02-15-11.30-1-30.jpg,2023,2,15,11:30,179,287.0,180.0,42.0,52.0,20.0,66.0,d_Unhealthy
"ITO, Delhi",DEL_VUnH_2023-02-16-17.00-1-40.jpg,2023,2,16,17:00,293,370.0,407.0,77.0,112.0,9.0,109.0,e_Very_Unhealthy
Mumbai,MH_UH_2023-02-02- 09.30-1-79.jpg,2023,2,2,9:30,182,115.8,188.5,25.3,,,9.5,d_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1665.jpg,2022,10,2,10:00,230,185.0,199.0,10.0,52.0,12.0,26.0,e_Very_Unhealthy
Tamil Nadu,TN_UHFSG_2023-02-10-08.30-1-35.jpg,2023,2,10,8:30,105,55.0,86.0,21.0,8.0,14.0,3.0,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_Mod_2023-03-04-08.30-1-351.jpg,2023,3,4,8:30,71,34.0,63.0,24.0,172.0,2.0,16.0,b_Moderate
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 15.00-2-70.jpg,2023,2,2,15:00,156,63.33,90.8,63.2,0.46,4.05,2.98,d_Unhealthy
"Biratnagar, Nepal",BIR_MOD_2023-02-13-09.30-4-10.jpg,2023,2,13,9:30,91,30.27,44.12,42.15,0.3,4.1,2.57,b_Moderate
"Knowledge park, Greater Noida",UP_VUN_2023-02-27-10.30-1-133.jpg,2023,2,27,10:30,299,329.0,299.0,2.0,20.0,48.0,27.0,e_Very_Unhealthy
"ITO, Delhi",DEL_SEV_2023-02-20-14.00-1-411.jpg,2023,2,20,14:00,363,257.0,139.0,41.0,65.0,35.0,83.0,f_Severe
"Biratnagar, Nepal",BIR_UH_2023-03-16-12.30-3-92.jpg,2023,3,16,12:30,154,65.89,95.23,78.31,0.36,3.5,1.03,d_Unhealthy
"ITO, Delhi",DEL_VUnH_2023-02-16-14.30-1-223.jpg,2023,2,16,14:30,245,337.0,272.0,85.0,60.0,28.0,108.0,e_Very_Unhealthy
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 15.00-4-17.jpg,2023,2,2,15:00,156,63.33,90.8,63.2,0.46,4.05,2.98,d_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1385.jpg,2022,10,2,10:00,230,185.0,199.0,10.0,52.0,12.0,26.0,e_Very_Unhealthy
"ITO, Delhi",DEL_SEV_2023-02-17-13.00-2-73.jpg,2023,2,17,13:00,372,348.0,199.0,25.0,67.0,10.0,107.0,f_Severe
"ITO, Delhi",DEL_VUnH_2023-02-16-17.00-2-34.jpg,2023,2,16,17:00,293,370.0,407.0,77.0,112.0,9.0,109.0,e_Very_Unhealthy
Bengaluru,BENGR_Good_2023-02-19-08.30-1-13.jpg,2023,2,19,8:30,41,20.0,36.0,9.0,165.0,3.0,8.0,a_Good
"ITO, Delhi",DEL_VUnH_2023-02-16-17.00-1-131.jpg,2023,2,16,17:00,293,370.0,407.0,77.0,112.0,9.0,109.0,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-441.jpg,2022,10,2,10:00,230,185.0,199.0,10.0,52.0,12.0,26.0,e_Very_Unhealthy
"Knowledge park, Greater Noida",UP_VUN_2023-03-02-09.00-1-537.jpg,2023,3,2,9:00,223,301.0,232.0,7.0,174.0,22.0,82.0,e_Very_Unhealthy
"Knowledge park, Greater Noida",UP_VUN_2023-03-02-09.00-1-73.jpg,2023,3,2,9:00,223,301.0,232.0,7.0,174.0,22.0,82.0,e_Very_Unhealthy
Bengaluru,BENGR_Good_2023-03-25-08.30-1-20.jpg,2023,3,25,8:30,32,13.0,32.0,31.0,219.0,10.0,20.0,a_Good
"ITO, Delhi",DEL_SEV_2023-02-20-14.00-1-556.jpg,2023,2,20,14:00,363,257.0,139.0,41.0,65.0,35.0,83.0,f_Severe
Tamil Nadu,TN_Good_2023-02-23-08.30-1-96.jpg,2023,2,23,8:30,43,21.0,36.0,10.0,410.0,15.0,13.0,a_Good
"ITO, Delhi",DEL_SEV_2023-02-17-13.00-2-18.jpg,2023,2,17,13:00,372,348.0,199.0,25.0,67.0,10.0,107.0,f_Severe
"Biratnagar, Nepal",BIR_MOD_2023-02-13-09.30-4-28.jpg,2023,2,13,9:30,91,30.27,44.12,42.15,0.3,4.1,2.57,b_Moderate
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-617.jpg,2022,10,2,10:00,230,185.0,199.0,10.0,52.0,12.0,26.0,e_Very_Unhealthy
Tamil Nadu,TN_Good_2023-02-22-09.30-2-136.jpg,2023,2,22,9:30,36,18.0,28.0,8.0,346.0,27.0,7.0,a_Good
Mumbai,MH_VUN_2023-03-05-08.30-1-56.jpg,2023,3,5,8:30,284,279.0,168.0,33.0,46.0,,100.0,e_Very_Unhealthy
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1737.jpg,2022,10,2,10:00,230,185.0,199.0,10.0,52.0,12.0,26.0,e_Very_Unhealthy
"ITO, Delhi",DEL_VUnH_2023-02-16-17.00-1-38.jpg,2023,2,16,17:00,293,370.0,407.0,77.0,112.0,9.0,109.0,e_Very_Unhealthy
Bengaluru,BENGR_UnFSG_2023-03-08-08.30-1-161.jpg,2023,3,8,8:30,106,49.0,90.0,31.0,204.0,9.0,25.0,c_Unhealthy_for_Sensitive_Groups
Mumbai,MH_UH_2023-02-19-12.00-1-13.jpg,2023,2,19,12:00,160,308.0,187.0,72.0,,,,d_Unhealthy
Mumbai,MH_UnFSG_2023-03-14-13.00-1-175.jpg,2023,3,14,13:00,138,90.0,120.0,143.0,21.0,9.0,16.0,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,TN_Good_2023-02-23-08.30-1-206.jpg,2023,2,23,8:30,43,21.0,36.0,10.0,410.0,15.0,13.0,a_Good
Tamil Nadu,TN_UN_2023-03-06-09.00-1-171.jpg,2023,3,6,9:00,161,111.0,169.0,19.0,398.0,24.0,18.0,d_Unhealthy
Tamil Nadu,TN_UN_2023-03-06-09.00-1-176.jpg,2023,3,6,9:00,161,111.0,169.0,19.0,398.0,24.0,18.0,d_Unhealthy
"Dimapur, Nagaland",Dimapur_MOD_2023-02-10-08.30-1-41.jpg,2023,2,10,8:30,63,31.0,52.0,10.0,6.0,4.0,2.0,b_Moderate
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-2801.jpg,2022,10,2,10:00,230,185.0,199.0,10.0,52.0,12.0,26.0,e_Very_Unhealthy
Tamil Nadu,TN_UN_2023-03-11-08.00-1-276.jpg,2023,3,11,8:00,152,102.0,162.0,16.0,252.0,26.0,32.0,d_Unhealthy
"Biratnagar, Nepal",BIR_MOD_2023-02-13-09.30-3-55.jpg,2023,2,13,9:30,91,30.27,44.12,42.15,0.3,4.1,2.57,b_Moderate
Bengaluru,BENGR_Mod_2023-02-23-08.30-1-511.jpg,2023,2,23,8:30,97,43.0,78.0,26.0,258.0,10.0,17.0,b_Moderate
Bengaluru,BENGR_Mod_2023-03-04-08.30-1-71.jpg,2023,3,4,8:30,71,34.0,63.0,24.0,172.0,2.0,16.0,b_Moderate
Bengaluru,BENGR_UHFSG_2023-02-15-14.30-1-11.jpg,2023,2,15,14:30,103,51.0,99.0,55.0,175.0,6.0,21.0,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_Mod_2023-02-25-08.30-1-561.jpg,2023,2,25,8:30,73,29.0,64.0,23.0,189.0,7.0,16.0,b_Moderate
"Biratnagar, Nepal",BIR_UNFSG_VF_2023-02-03-16.00-2-3.jpg,2023,2,3,16:00,141,50.29,72.18,59.66,0.45,2.6,4.19,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,TN_Good_2023-02-23-08.30-2-156.jpg,2023,2,23,8:30,43,21.0,36.0,10.0,410.0,15.0,13.0,a_Good
Mumbai,MH_UH_2023-02-03- 09.30-1-3.jpg,2023,2,3,9:30,162,132.0,185.0,14.0,77.0,10.0,1.0,d_Unhealthy
"ITO, Delhi",DEL_VUnH_2023-02-16-17.00-2-64.jpg,2023,2,16,17:00,293,370.0,407.0,77.0,112.0,9.0,109.0,e_Very_Unhealthy
"Knowledge park, Greater Noida",UP_SEV_2023-02-18-11.00-1-9.jpg,2023,2,18,11:00,320,409.0,352.0,2.0,94.0,22.0,105.0,f_Severe
"Knowledge park, Greater Noida",UP_SEV_2023-02-18-11.00-1-39.jpg,2023,2,18,11:00,320,409.0,352.0,2.0,94.0,22.0,105.0,f_Severe
Mumbai,MH_UnFSG_2023-03-18-11.00-1-64.jpg,2023,3,18,11:00,114,143.0,114.0,73.0,1.0,7.0,87.0,c_Unhealthy_for_Sensitive_Groups
Tamil Nadu,TN_UnFSG_2023-03-03-09.00-2-126.jpg,2023,3,3,9:00,121,70.0,113.0,21.0,409.0,20.0,18.0,c_Unhealthy_for_Sensitive_Groups
Mumbai,MH_Good_2023-03-23-17.00-1-246.jpg,2023,3,23,17:00,47,14.0,41.0,35.0,6.0,5.0,7.0,a_Good
Tamil Nadu,TN_Good_2023-02-22-09.30-2-1.jpg,2023,2,22,9:30,36,18.0,28.0,8.0,346.0,27.0,7.0,a_Good
"Biratnagar, Nepal",BRI_Un_2023-02-03- 10.00-2.jpg,2023,2,3,10:00,163,68.92,98.72,51.38,0.58,2.91,2.69,d_Unhealthy
"Biratnagar, Nepal",BIR_UNH_VF_2023-02-02- 15.00-4-5.jpg,2023,2,2,15:00,156,63.33,90.8,63.2,0.46,4.05,2.98,d_Unhealthy
Tamil Nadu,TN_MOD_2023-02-09-08.30-1-20.jpg,2023,2,9,8:30,78,39.0,69.0,11.0,3.0,22.0,6.0,b_Moderate
"Dimapur, Nagaland",Dimapur_UHFSG_2023-02-02- 09.00-2-5.jpg,2023,2,2,9:00,103,53.0,84.0,13.0,2.0,3.0,5.0,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_Mod_2023-03-01-08.30-1-261.jpg,2023,3,1,8:30,70,35.0,61.0,22.0,244.0,4.0,16.0,b_Moderate
"ITO, Delhi",DEL_VUnH_2023-02-16-17.00-1-16.jpg,2023,2,16,17:00,293,370.0,407.0,77.0,112.0,9.0,109.0,e_Very_Unhealthy
"Biratnagar, Nepal",BIR_MOD_2023-02-13-09.30-3-76.jpg,2023,2,13,9:30,91,30.27,44.12,42.15,0.3,4.1,2.57,b_Moderate
"New Ind Town, Faridabad",HAR_VUN_2022-10-02-10.00-1-1937.jpg,2022,10,2,10:00,230,185.0,199.0,10.0,52.0,12.0,26.0,e_Very_Unhealthy
"Knowledge park, Greater Noida",UP_VUN_2023-03-02-09.00-1-649.jpg,2023,3,2,9:00,223,301.0,232.0,7.0,174.0,22.0,82.0,e_Very_Unhealthy
"Knowledge park, Greater Noida",UP_UN_2023-03-01-08.30-8.jpg,2023,3,1,8:30,199,35.0,345.0,2.0,42.0,22.0,25.0,d_Unhealthy
"Biratnagar, Nepal",BIR_UNFSG_VF_2023-02-03-15.00-3-22.jpg,2023,2,3,15:00,141,47.96,68.92,65.57,0.41,2.8,2.51,c_Unhealthy_for_Sensitive_Groups
"ITO, Delhi",DEL_VUnH_2023-02-16-17.00-1-148.jpg,2023,2,16,17:00,293,370.0,407.0,77.0,112.0,9.0,109.0,e_Very_Unhealthy
Mumbai,MH_UN_2023-03-12-13.00-1-302.jpg,2023,3,12,13:00,156,217.0,122.0,,,,63.0,d_Unhealthy
Mumbai,MH_UnFSG_2023-02-23-11.00-1-281.jpg,2023,2,23,11:00,130,319.0,201.0,54.0,76.0,,169.0,c_Unhealthy_for_Sensitive_Groups
Mumbai,MH_UH_2023-02-14-11.30-1-16.jpg,2023,2,14,11:30,160,78.8,169.0,25.0,0.0,,26.0,d_Unhealthy
"Dimapur, Nagaland",Dimapur_UHFSG_2023-02-02- 09.00-2-20.jpg,2023,2,2,9:00,103,53.0,84.0,13.0,2.0,3.0,5.0,c_Unhealthy_for_Sensitive_Groups
"ITO, Delhi",DEL_VUnH_2023-02-16-14.30-1-29.jpg,2023,2,16,14:30,245,337.0,272.0,85.0,60.0,28.0,108.0,e_Very_Unhealthy
Tamil Nadu,TN_UHFSG_2023-02-10-08.30-1-43.jpg,2023,2,10,8:30,105,55.0,86.0,21.0,8.0,14.0,3.0,c_Unhealthy_for_Sensitive_Groups
Bengaluru,BENGR_Good_2023-02-28-08.30-1-76.jpg,2023,2,28,8:30,37,19.0,37.0,18.0,272.0,11.0,21.0,a_Good
Mumbai,MH_UnFSG_2023-03-18-11.00-1-71.jpg,2023,3,18,11:00,114,143.0,114.0,73.0,1.0,7.0,87.0,c_Unhealthy_for_Sensitive_Groups
Mumbai,MH_UN_2023-03-15-15.00-1-442.jpg,2023,3,15,15:00,162,193.0,466.0,225.0,39.0,8.0,61.0,d_Unhealthy
"ITO, Delhi",DEL_UnH_2023-02-15-11.30-1-68.jpg,2023,2,15,11:30,179,287.0,180.0,42.0,52.0,20.0,66.0,d_Unhealthy
Tamil Nadu,TN_UN_2023-03-11-08.00-1-226.jpg,2023,3,11,8:00,152,102.0,162.0,16.0,252.0,26.0,32.0,d_Unhealthy
"ITO, Delhi",DEL_SEV_2023-02-16-18.00-2-120.jpg,2023,2,16,18:00,330,418.0,357.0,12.0,106.0,7.0,119.0,f_Severe
Bengaluru,BENGR_Mod_2023-02-21-08.30-1-121.jpg,2023,2,21,8:30,56,27.0,53.0,27.0,265.0,19.0,16.0,b_Moderate
"Knowledge park, Greater Noida",UP_UHFSG_2023-02-24-08.30-1-425.jpg,2023,2,24,8:30,141,268.0,180.0,2.0,114.0,10.0,56.0,c_Unhealthy_for_Sensitive_Groups
